Player,Rank
Jaishawn Barham,130
JC Davis,131
Anthony Lucas,132
Skyler Thomas,133
Marlin Klein,134
Michael Taaffe,135
Kendal Daniels,136
Harold Perkins Jr,137
Chris McClellan,138
Josh Cameron,139
DJ Campbell,140
Ar'Maj Reed-Adams,141
Malachi Fields,142
Daylen Everette,143
Oscar Delp,144
Dontay Corleone,145
DeMonte Capehart,146
Bud Clark,147
Kage Casey,148
Fa'alili Fa'amoe,149
Lander Barton,150
Cyrus Allen,151
Tim Keenan III,152
Deion Burks,153
CJ Daniels,154
Bryce Boettcher,155
Ethan Burke,156
Eric McAlister,157
Mikail Kamara,158
Sam Roush,159
Thaddeus Dixon,160
Garrett Nussmeier,161
Tyler Onyedim,162
Matthew Hibner,163
Lewis Bond,164
Beau Stephens,165
Landon Robinson,166
Tyreak Sapp,167
Max Llewellyn,168
Nick Barrett,169
Kendrick Law,170
Gary Smith III,171
Malik Benson,172
Domani Jackson,173
Cade Klubnik,174
Caden Curry,175
Jaeden Roberts,176
Rayshaun Benny,177
Tristan Leigh,178
Nadame Tucker,179
Jadon Canady,180
Devon Marshall,181
Josh Cuevas,182
Kaleb Proctor,183
Keagen Trost,184
J'Mari Taylor,185
Tanner Koziol,186
VJ Payne,187
Nick Singleton,188
Roman Hemby,189
Zxavian Harris,190
Drew Allar,191
Jalen Farmer,192
Jordan Hudson,193
John Michael Gyllenborg,194
Jakobe Thomas,195
Eli Heidenreich,196
Brent Austin,197
Dan Villari,198
Carson Beck,199
Caleb Douglas,200
Adam Randall,201
Collin Wright,202
Jack Strand,203
Cole Payton,204
Luke Altmyer,205
Red Murdock,206
Eric Rivers,207
Cole Wisniewski,208
Harrison Wallace III,209
Reggie Virgil,210
Jamarion Miller,211
Jeff Caldwell,212
Barion Brown,213
TJ Hall,214
Miles Kitselman,215
Sawyer Robertson,216
Aaron Anderson,217
Seth McGowan,218
Jalen Huskey,219
Alex Harkey,220
Le'Veon Moss,221
Fernando Carmona Jr,222
Robert Spears-Jennings,223
DJ Rogers,224
Vincent Anthony Jr,225
Diego Pounds,226
Pat Coogan,227
Skyler Gill-Howard,228
Nate Boerkircher,229
Taylen Green,230
Joe Fagnano,231
Jack Kelly,232
Owen Heinecke,233
DeShon Singleton,234
Tyren Montgomery,235
Will Kacmarek,236
Noah Whittington,237
Desmond Reid,238
Markel Bell,239
Anez Cooper,240
Jack Pyburn,241
Diego Pavia,242
Joey Aguilar,243
Jordan van den Berg,244
Mark Gronowski,245
Cameron Ball,246
Chip Trayanum,247
Robert Henry Jr,248
Vinny Anthony II,249
Caullin Lacy,250
Michael Wortham,251
Nyjalik Kelly,252
Romello Brinson,253
Rahsul Faison,254
Behren Morton,255
Shad Banks Jr,256
CJ Donaldson,257
Haynes King,258
Deven Eastern,259
Jalon Daniels,260
Duce Chestnut,261
Jalen McMurray,262
Alan Herron,263
Jaydn Ott,264
Bobby Jamison-Travis,265
Aaron Graves,266
Kaelon Black,267
Billy Schrauth,268
James Brockermeyer,269
Lake McRee,270
Albert Regis,271
Nolan Rucci,272
Isaiah Nwokobia,273
Rohan Jones,274
Micah Morris,275
Dae'Quan Wright,276
Daniel Sobkowicz,277
Erick Hunter,278
Athan Kaliakmanis,279
Miles Scott,280
Bishop Fitzgerald,281
Logan Fano,282
Cam Miller,283
Eric Gentry,284
Preston Hodge,285
Wesley Williams,286
Justin Jefferson,287
Lance Mason,288
Jack Velling,289
Dalton Johnson,290
Caden Barnett,291
Xavier Nwankpa,292
Aamil Wagner,293
Chase Roberts,294
Carsen Ryan,295
Matthew Henry,296
Andre Fuller,297
Jager Burton,298
Trey Moore,299
Jimmy Rolder,300
Jaden Dugger,301
Brett Thorson,302
Bryan Thomas Jr,303
Jaren Kanak,304
George Gumbs Jr,305
Carver Willis,306
Bryson Eason,307
Jordan Davis,308
Brandon Cleveland,309
Desmond Purnell,310
Davion Carter,311
Dillon Bell,312
Alex Afari Jr,313
Josh Gesky,314
Delby Lemieux,315
David Blay Jr,316
Pete Nygra,317
Jeffrey M'ba,318
Mason Reiger,319
Toriano Pride Jr,320
Avery Smith,321
Tommy Doman,322
J Michael Sturdivant,323
Josh Moten,324
Travis Burke,325
Cian Slone,326
Donaven McCulley,327
Noah Thomas,328
Quintayvious Hutchins,329
Evan Beerntsen,330
Dominic Zvada,331
Kaden Wetjen,332
Enrique Cruz Jr,333
Riley Mahlman,334
Joshua Braun,335
Ethan Onianwa,336
Daylan Carnell,337
DeVonta Smith,338
Riley Nowakowski,339
Jayden Williams,340
RJ Maryland,341
Ahmari Harvey,342
Garrett DiGiorgio,343
Bryce Foster,344
Trey Smack,345
Max Bredeson,346
Emmanuel Henderson Jr,347
David Gusta,348
Wade Woodaz,349
Connor Tollison,350
Jack Stonehouse,351
Scooby Williams,352
DJ Harvey,353
Chris Adams,354
Micah Pettus,355
Marcus Allen,356
Logan Taylor,357
Jalen Catalon,358
Ricardo Hallman,359
DQ Smith,360
Zavion Thomas,361
Ahmaad Moses,362
Jackson Kuwatch,363
Jamal Haynes,364
Jalen Stroman,365
Giovanni El-Hadi,366
James Thompson Jr,367
Lorenzo Styles Jr,368
Austin Brown,369
De'Zhaun Stribling,370
Myles Rowser,371
Jackie Marshall,372
Dillon Wade,373
Patrick Payton,374
Aidan Hubbard,375
Keyshawn James-Newby,376
Wesley Bissainthe,377
Jarod Washington,378
Jaylon Guilbeau,379
Marvin Jones Jr,380
Ceyair Wright,381
Jeremiah Wright,382
Keyshaun Elliott,383
Latrell McCutchin Sr,384
Cam'Ron Stewart,385
Namdi Obiazor,386
Colbie Young,387
Xavian Sorey Jr,388
Maurice Westmoreland,389
Jalen Walthall,390
Karson Sharar,391
Damonic Williams,392
Miller Moss,393
Declan Williams,394
Max Tomczak,395
Ryan Eckley,396
West Weeks,397
Bauer Sharp,398
Beau Gardner,399
Kentrel Bullock,400
Dasan McCullough,401
Tyreek Chappell,402
Dean Connors,403
Will Ferrin,404
Tyler Duzansky,405
De'Corian Clark,406
Chris Hilton Jr,407
Tony Grimes,408
Damon Payne Jr,409
Drew Stevens,410
Khordae Sydnor,411
James Neal III,412
Joe Cooper,413
JoJo Earle,414
Reuben Fatheree II,415
Zion Nelson,416
Luke Basso,417
Garrison Grimes,418
Khalil Dinkins,419
Seydou Traore,420
Kyron Drones,421
David Reese,422
LJ Johnson Jr,423
Donavon Greene,424
Justin Flowe,425
Jeff Sims,426
Arik Gilbert,427
