Round,Overall,Team,Original Team
5,181,Lions,Lions
6,182,Bills,Jets
6,183,Cardinals,Cardinals
6,184,Titans,Titans
6,185,Raiders,Raiders
6,186,Giants,Giants
6,187,Commanders,Commanders
6,188,Seahawks,Browns
6,189,Bengals,Bengals
6,190,Saints,Saints
6,191,Patriots,Chiefs
6,192,Giants,Dolphins
6,193,Giants,Cowboys
6,194,Titans,Ravens
6,195,Buccaneers,Buccaneers
6,196,Vikings,Colts
6,197,Eagles,Falcons
6,198,Patriots,Vikings
6,199,Bengals,Lions
6,200,Panthers,Panthers
6,201,Packers,Packers
6,202,Patriots,Steelers
6,203,Jaguars,Eagles
6,204,Chargers,Chargers
6,205,Lions,Jaguars
6,206,Browns,Bears
6,207,Rams,Texans
6,208,Raiders,Bills
6,209,Commanders,49ers
6,210,Chiefs,Rams
6,211,Ravens,Broncos
6,212,Patriots,Patriots
6,213,Lions,Seahawks
6,214,Colts,Steelers
6,215,Falcons,Eagles
6,216,Steelers,Steelers
7,217,Cardinals,Cardinals
7,218,Cowboys,Titans
7,219,Raiders,Raiders
7,220,Bills,Jets
7,221,Bengals,Giants
7,222,Lions,Browns
7,223,Commanders,Commanders
7,224,Steelers,Saints
7,225,Titans,Chiefs
7,226,Bengals,Bengals
7,227,Dolphins,Dolphins
7,228,Jets,Cowboys
7,229,Buccaneers,Buccaneers
7,230,Steelers,Colts
7,231,Falcons,Falcons
7,232,Rams,Ravens
7,233,Jaguars,Lions
7,234,Vikings,Vikings
7,235,Vikings,Panthers
7,236,Packers,Packers
7,237,Steelers,Steelers
7,238,Dolphins,Chargers
7,239,Bears,Eagles
7,240,Jaguars,Jaguars
7,241,Bears,Bears
7,242,Jets,Bills
7,243,Texans,49ers
7,244,Vikings,Texans
7,245,Jaguars,Rams
7,246,Broncos,Broncos
7,247,Patriots,Patriots
7,248,Browns,Seahawks
7,249,Colts,Colts
7,250,Ravens,Ravens
7,251,Rams,Rams
7,252,Rams,Rams
7,253,Ravens,Ravens
7,254,Colts,Colts
7,255,Packers,Packers
7,256,Broncos,Broncos
7,257,Broncos,Broncos
